"","Campaign_ID","Target_Audience","Campaign_Goal","Duration","Channel_Used","Conversion_Rate","Acquisition_Cost","ROI","Location","Language","Clicks","Impressions","Engagement_Score","Customer_Segment","Date","Company"
"5656",972649,"Women 25-34","Increase Sales",23,"Facebook",0.0465964045516625,6368,22.1786275505468,"Las Vegas","French",1236.7168,8100,27,"Technology","2022-09-01","Silicon Saga"
"49696",697005,"Men 35-44","Increase Sales",19,"Facebook",0.0808358810522257,5644,10.4988670772728,"Miami","English",9841.0752,39476.304,131.58768,"Health","2022-02-28","Elixir Essence"
"73592",382753,"Men 35-44","Market Expansion",26,"Instagram",0.122909335318863,7226,31.1180982973388,"Austin","English",21599.1776,44581.968,148.60656,"Technology","2022-06-03","Gadget Giants"
"190773",423300,"Men 25-34","Product Launch",10,"Twitter",0.0307416327032642,13040,1.03212409575427,"Miami","English",14642.56,48502.3,161.674333333333,"Health","2022-02-05","Vigor Valley"
"16586",542997,"Women 45-60","Brand Awareness",10,"Facebook",0.111791491605134,12808,1.57929954107075,"Los Angeles","English",34771.8,67194,223.98,"Technology","2022-04-11","Silicon Saga"
"103569",588633,"Men 25-34","Product Launch",30,"Instagram",0.142215250162141,1012,43.4111271182575,"Austin","English",16427.1536,34064.064,113.54688,"Health","2022-12-29","Vigor Valley"
"93772",960657,"Men 25-34","Increase Sales",6,"Instagram",0.0263970603227438,13019,19.0731744637482,"Miami","English",21196.16,69733.3,232.444333333333,"Food","2022-05-09","Palate Paradise"
"126591",650131,"Men 18-24","Market Expansion",25,"Pinterest",0.119464332565531,6544,4.51464180597314,"Austin","French",1548.4612,3886.272,12.95424,"Technology","2022-10-20","Gadget Giants"
"37964",338762,"Women 35-44","Product Launch",27,"Facebook",0.0647329649591667,9030,20.6208468118847,"Austin","English",15184.4836,31537.728,105.12576,"Food","2022-07-08","Epicurean Edge"
"185184",351301,"Men 18-24","Brand Awareness",15,"Twitter",0.0965854824430669,7510,7.43671828536939,"Austin","English",11231.8492,23498.64,78.3288,"Food","2022-03-26","Savor Street"
"55825",964546,"Women 25-34","Product Launch",26,"Facebook",0.0612982640332463,13116,8.58891615781819,"Las Vegas","English",6957.984,36460.368,121.53456,"Fashion","2022-06-18","Fiber Fashion"
"164059",969423,"Women 45-60","Product Launch",8,"Twitter",0.10161903156162,7973,0.835391899299418,"New York","English",70883.4,162401.6,541.338666666667,"Technology","2022-04-20","Innovate Infinity"
"31568",151294,"Women 35-44","Brand Awareness",28,"Facebook",0.0490186187811676,14963,20.6454635436543,"Las Vegas","English",3339.2128,18525.024,61.75008,"Food","2022-02-01","Gastronomy Guild"
"115542",797616,"Women 45-60","Market Expansion",16,"Instagram",0.0434919214895207,14604,2.24204166141325,"Austin","English",14011.6548,29151.792,97.17264,"Fashion","2022-06-30","Fiber Fashion"
"188159",914049,"Women 25-34","Market Expansion",4,"Twitter",0.0694647079698946,5902,0.259019220795249,"Miami","French",9937.92,33259.1,110.863666666667,"Health","2022-03-29","Wellness Waves"
"23051",649667,"Men 18-24","Brand Awareness",4,"Facebook",0.0864379007345023,1335,27.4497802543518,"Miami","English",3082.24,11049.5,36.8316666666667,"Home","2022-07-04","Cozy Corners"
"193118",609988,"Men 45-60","Product Launch",30,"Twitter",0.0418914676568436,5966,2.42238526253961,"Austin","English",6542.4216,13961.808,46.53936,"Fashion","2022-02-15","Style Sphere"
"170772",867173,"Men 18-24","Market Expansion",11,"Twitter",0.0779700914483259,3360,0.091688702521726,"Miami","English",14965.76,49548.1,165.160333333333,"Home","2022-11-23","Decor Dreams"
"40963",190638,"Women 45-60","Market Expansion",20,"Facebook",0.0470265896479275,9481,3.73219723085659,"Austin","French",24417.9936,50314.608,167.71536,"Food","2022-12-22","Nosh Nirvana"
"173216",627787,"Women 35-44","Market Expansion",19,"Twitter",0.200542844877863,11847,0.596410478130477,"Los Angeles","Spanish",40112.7342,92400.48,308.0016,"Home","2022-10-16","Homely Haven"
"120807",191911,"Men 18-24","Market Expansion",19,"Instagram",0.152740800021539,9924,43.2596127234102,"Austin","English",23559.1356,48568.896,161.89632,"Fashion","2022-07-26","Attire Artistry"
"107909",651800,"Women 35-44","Product Launch",12,"Instagram",0.0840092084470599,10610,20.7847748395857,"Los Angeles","English",34526.66,66736.5,222.455,"Health","2022-05-24","Wellness Waves"
"103380",477925,"Women 18-24","Market Expansion",10,"Instagram",0.173071694763093,6289,23.1357082024378,"Los Angeles","Spanish",70995.4,134815.5,449.385,"Health","2022-02-11","Vigor Valley"
"3847",563813,"Women 25-34","Brand Awareness",16,"Facebook",0.061685369313191,14606,23.7130157202452,"Miami","English",22367.7696,87771.6,292.572,"Technology","2022-10-06","Pixel Pioneers"
"119257",515874,"All Ages","Product Launch",9,"Instagram",0.158353218535913,5837,26.2530572242988,"New York","French",70387.8,161281.6,537.605333333333,"Fashion","2022-02-20","Mode Maven"
"43030",473156,"All Ages","Brand Awareness",25,"Facebook",0.0657986083810778,14214,28.1826504775864,"Austin","English",20572.3232,42494.544,141.64848,"Health","2022-03-16","Vital Vigor"
"137777",100675,"Men 35-44","Increase Sales",2,"Pinterest",0.214705668236072,11910,1.74901202846442,"New York","French",29939.7,75846.4,252.821333333333,"Home","2022-06-17","Hearth Harmony"
"131494",989763,"Men 18-24","Market Expansion",26,"Pinterest",0.169051863385176,14642,7.96358596822695,"Austin","French",1735.3336,4303.584,14.34528,"Technology","2022-07-04","Innovate Infinity"
